year,citations,title,authors,venue,doi,openalex_id,type,query
2021,12,“People Nowadays Will Take Everything They Can Get”: American Perceptions of Basic Income Usage,Leah Hamilton; Meric Yorgun; Allison Wright,Journal of Policy Practice and Research,10.1007/s42972-021-00035-0,W3185690004,article,Roosevelt Institute modeling macroeconomic effects universal basic income Nikiforos
2011,11,The Alaska Permanent Fund Dividend: A Case Study in the Direct Distribution of Resource Rent,Oliver Goldsmith,ScholarWorks - UA (University of Alaska System),,W2803865543,report,Alaska Permanent Fund dividend employment labor supply
2022,11,Cash-Crop Migration Systems in East and West Africa,Michiel de Haas; Emiliano Travieso,,10.4324/9781003225027-16,W4220884877,book-chapter,Stockton SEED basic income economic mobility West
2019,11,Basic Income by Default: Lessons from Iran’s ‘Cash Subsidy’ Programme,Massoud Karshenas; Hamid Tabatabai,Exploring the basic income guarantee,10.1007/978-3-030-23614-4_17,W2976473605,book-chapter,Iran subsidy reform cash transfers labor Salehi-Isfahani
2023,11,Can Universal Basic Income work for disabled people? An examination of existing UK organisational and academic positions,Elliott Johnson; Howard Reed; Matthew Johnson,Disability & Society,10.1080/09687599.2023.2233688,W4384343377,article,UBI cost net transfers microsimulation Torry
2025,11,Jagged competencies: Measuring the reliability of generative AI in academic research,Llewellyn D W Thomas; Angelo Romasanta; Laia Pujol Priego,Journal of Business Research,10.1016/j.jbusres.2025.115804,W4415655256,article,jagged technological frontier field experimental evidence consultants generative AI
2014,10,From cash transfers to basic income: An unfolding Indian Agenda,Guy Standing,SOAS Research Online (SOAS University of London),,W1585828362,article,Madhya Pradesh unconditional cash transfers SEWA pilot
2020,10,"The Current State of Research of the Content, Forms, Tools and Mechanisms of Introducing Unconditional Basic Income",Ekaterina Chernykh,Living Standards of the Population in the Regions of Russia,10.19181/lsprr/2020.16.2.6,W3036210657,article,universal basic income developing countries IMF options illustration Coady Prady
2024,10,Generative AI and the Future of Inequality,Nathan Wilmers,,10.21428/e4baedd9.777b7123,W4393234387,article,jagged technological frontier field experimental evidence consultants generative AI
2023,9,A guaranteed income intervention to improve the health and financial well-being of low-income black emerging adults: study protocol for the Black Economic Equity Movement randomized controlled crossover trial,Sheri A. Lippman; Margaret Libby; Michelle Kao Nakphong; Abigail Arons; Monica Balanoff; A. Rain Mocello,Frontiers in Public Health,10.3389/fpubh.2023.1271194,W4388293353,article,Stockton SEED basic income economic mobility West
2022,9,Participation Income,Heikki Hiilamo,Edward Elgar Publishing eBooks,10.4337/9781800880801,W4294250967,book,OpenResearch unconditional cash transfers three-year US study
2022,9,Basic income experiments in OECD countries: A rapid evidence review,Joe Chrisp; Laura Dimmit Smyth; Claire Stansfield; Nick Pearce; Rachel France; Chris Taylor,Pure (University of Bath),10.5281/zenodo.6347147,W4220823580,book,Ontario basic income pilot cancellation
2024,9,Are Prompt Engineering and TODO Comments Friends or Foes? An Evaluation on GitHub Copilot,David O'Brien; Sumon Biswas; Sayem Mohammad Imtiaz; Rabe Abdalkareem; Emad Shihab; Hridesh Rajan,,10.1145/3597503.3639176,W4394745320,conference-paper,experimental evidence GitHub Copilot productivity Peng
2019,7,A Review on Basic Income: A Radical Proposal for a Free Society and a Sane Economy by Philippe Van Parijs and Yannick Vanderborght,Caterina Calsamiglia; Sabine Flamand,Journal of Economic Literature,10.1257/jel.20181476,W2972721132,article,Basic Income a radical proposal Van Parijs
2024,7,The Impact of Large Language Models on Open-source Innovation: Evidence from GitHub Copilot,Doron Yeverechyahu; Raveesh Mayya; Gal Oestreicher-Singer,arXiv (Cornell University),10.48550/arxiv.2409.08379,W4403661663,preprint,experimental evidence GitHub Copilot productivity Peng
2019,7,"Global ID Coverage, Barriers, and Use by the Numbers",World Bank,"World Bank, Washington, DC eBooks",10.1596/33430,W4240868548,book,identification development coverage World Bank ID4D people without ID
2018,6,From James Meade’s ‘Social Dividend’ to ‘State Bonus’: An Intriguing Chapter in the History of a Concept,Walter Van Trier,OEconomia,10.4000/oeconomia.4226,W2908101007,article,Higher Production by a Bonus on National Output Milner 1920
2018,6,The Labor Market Impacts of Universal and Permanent Cash Transfers: Evidence from the Alaska Permanent Fund,Damon Jones; Ioana Elena Marinescu,SSRN Electronic Journal,10.2139/ssrn.3137486,W3145335066,preprint,Alaska Permanent Fund dividend employment labor supply
2022,6,A Reanalysis of “The Town with No Poverty”: A Reply,Evelyn L. Forget,Canadian Public Policy,10.3138/cpp.2022-017,W4320057580,article,The Town with No Poverty health Mincome Manitoba Forget
2023,6,Are Universal and Guaranteed Basic Income Programs Effective in the United States? A Review,Beth Okantey,Research on Social Work Practice,10.1177/10497315231202781,W4387299537,article,Stockton SEED basic income economic mobility West
2024,5,The Causal Effects of Income on Political Attitudes and Behavior: A Randomized Field Experiment,David Broockman; Elizabeth Rhodes; Alexander Bartik; Karina Dotson; Sarah Miller; Patrick Krause,National Bureau of Economic Research,10.3386/w33214,W4404907766,report,OpenResearch unconditional cash transfers three-year US study
2021,5,Simulation of scenarios for overcoming absolute monetary poverty in Russia based on the concept of unconditional basic income,Vyacheslav Bobkov; Valeriy Ivanovich Antipov; И. Б. Колмаков; Ekaterina Chernykh,Living Standards of the Population in the Regions of Russia,10.19181/lsprr.2021.17.2.4,W3169640568,article,universal basic income developing countries IMF options illustration Coady Prady
2024,5,Buffer or Bottleneck? Employment Exposure to Generative AI and the Digital Divide in Latin America,Paweł Gmyrek; Hernán Winkler; Santiago Garganta,,10.1596/1813-9450-10863,W4401473304,report,generative AI and future of work IMF employment exposure Cazzaniga
2024,5,"Aadhaar, AI, and Identity: Negotiating Power and Surveillance in the Global South",Nilanjana Sinha,Sotsiologicheskoe Obozrenie / Russian Sociological Review,10.17323/1728-192x-2024-4-80-112,W4408083697,article,Aadhaar exclusion welfare beneficiaries Khera Dreze right to die
2025,4,"Financial Incentives, Income Supplementation, Cash Transfer, and Universal Basic Income Interventions in Diabetes: Understanding Differences and Effectiveness: A Scoping Review",Leonard E. Egede; Jennifer A. Campbell; Sebastian Linde; Rebekah J. Walker,Diabetes Care,10.2337/dci24-0072,W4406360016,article,OpenResearch unconditional cash transfers three-year US study
2020,4,Locally Universal: Universal Basic Income Policies in the Post-Pandemic World-Order,Julio Lucchesi Moraes; Carlos Freire,Glocalism Journal of Culture Politics and Innovation,10.12893/gjcpi.2020.2.4,W4391498081,article,universal basic income developing countries IMF options illustration Coady Prady
2024,4,Modern welfare in the United Kingdom is a universal (dis)credit to Beveridge. Is it time for a basic income?,Dave Beck; Remco Peters; Gemma Bridge; Francis Poitier; Ben Pearson,Social Policy and Administration,10.1111/spol.13002,W4390766566,article,UBI cost net transfers microsimulation Torry
2014,4,The Political Economy of Food Subsidy in India,Ashok Kotwal; Milind Murugkar; Bharat Ramaswami,The Copenhagen Journal of Asian Studies,10.22439/cjas.v30i2.4244,W953191833,article,Aadhaar exclusion welfare beneficiaries Khera Dreze right to die
2021,4,COVID-19 Strikes U.S. Higher Education,Raquel Wright-Mair; Candice Peters; Gabrielle A. McAllaster,Journal of Postsecondary Student Success,10.33009/fsop_jpss125542,W3195249301,article,unemployment insurance fraud COVID improper payments GAO
2022,3,A Reanalysis of “The Town with No Poverty: The Health Effects of a Canadian Guaranteed Annual Income Field Experiment”,David A. Green,Canadian Public Policy,10.3138/cpp.2021-025,W4317815886,article,The Town with No Poverty health Mincome Manitoba Forget
2024,3,“I Was Trusted for Once”: Imagining More Humane Income Supports Through the Ontario Basic Income Pilot,Kendal David; Beth Martin; Tom McDowell; Mohammad Ferdosi; Rebekah Ederer; Amy Ma,Social Policy and Society,10.1017/s1474746424000551,W4405691809,article,Ontario basic income pilot cancellation
2023,3,The Macroeconomic Effects of a UBI: A Review of Existing Evidence and Approaches,Joe Chrisp,Basic Income Studies,10.1515/bis-2022-0027,W4386764422,article,UBI cost net transfers microsimulation Torry
2018,3,"Long-run Economic, Budgetary and Fiscal Effects of Roma Integration Policies",Pavel Ciaian; Andrey Ivanov; d’Artis Kancs,RePEc: Research Papers in Economics,,W3125020107,preprint,Roosevelt Institute modeling macroeconomic effects universal basic income Nikiforos
2024,3,"The role of AI, big data and predictive analytics in mitigating unemployment insurance fraud",Siddikur Rahman; Abu Sayem; Shariar Emon Alve; Md Shahidul Islam; Md Munjurul Islam; Arifa Ahmed,International Journal of Business Ecosystem and Strategy (2687-2293),10.36096/ijbes.v6i4.679,W4404899305,article,unemployment insurance fraud COVID improper payments GAO
2025,3,"Organizational adaptation, task complexity, and effective administration of unemployment programs in the American states",George Krause; Joon Hee Hong,Journal of Policy Analysis and Management,10.1002/pam.70024,W4411189162,article,unemployment insurance fraud COVID improper payments GAO
2025,3,Digital Finance Architecture for the Public Sector: Redesigning U.S. Tax and Fund Distribution Systems with FAST™ and DFRA™,Rahul Bhatia,Journal of Computer Science and Technology Studies,10.32996/jcsts.2025.7.8.133,W4413796197,article,unemployment insurance fraud COVID improper payments GAO
2024,2,Dividend-Based Labor Remuneration and Tradable Shares in Worker Cooperatives,Ermanno Tortia,Risks,10.3390/risks13010005,W4405928381,article,social dividend Meade agathotopia
2025,2,The Impact of Unconditional Cash Transfers on Parenting and Children,Patrick Krause; Elizabeth Rhodes; Sarah Miller; Alexander Bartik; David Broockman; Eva Vivalt,National Bureau of Economic Research,10.3386/w34040,W4412535923,report,OpenResearch unconditional cash transfers three-year US study
2019,2,Universal basic income: A viable policy alternative?,Pavel Ciaian; Andrey Ivanov; d’Artis Kancs,World Economy,10.1111/twec.12798,W2929963507,article,Roosevelt Institute modeling macroeconomic effects universal basic income Nikiforos
2017,1,"Van Parijs, P. Vanderborght, Y. Basic Income: A Radical Proposal for a Free Society and a Sane Economy",Joe Chrisp,Basic Income Studies,10.1515/bis-2017-0018,W2773473723,article,Basic Income a radical proposal Van Parijs
1983,1,Agriculture and authority - responses to the food production campaign 1917 - 1918,Christopher M. Reason,University of Birmingham Institutional Research Archive (University of Birmingham),,W12721758,dissertation,Higher Production by a Bonus on National Output Milner 1920
2013,1,Cash in women’s hands: experience from case studies in two unconditional cash transfer pilots in India,Dipjyoti Konwar Dipjyoti Konwar,IOSR Journal of Humanities and Social Science,10.9790/0837-1043639,W2334520163,article,Madhya Pradesh unconditional cash transfers SEWA pilot
2022,1,Basic income in Australia: an exploration,Son Nghiem; Binh Thanh Vu,Journal of Economics and Development,10.1108/jed-07-2022-0119,W4311474388,article,Roosevelt Institute modeling macroeconomic effects universal basic income Nikiforos
